Pathway	test.results.p.value	test.results.p.adj	test.results.vote.rank	test.results.avg.rank	test.results.med.rank	test.results.min.pvalue	test.results.min.rank	test.results.avg.logfc	test.results.avg.logfc.dir	test.results.direction	test.results.significance	Big_pathway
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	9.615356134382431e-18	6.090741442073636e-15	11600	4605.65	6849.5	4.807678067191205e-19	4	0.9217343432470028	0.20934097786291528	0.2	31.112262827817094	gmtcustom
GO_TRANSLATIONAL_TERMINATION	9.626827002695206e-18	6.090741442073636e-15	10120	5317.2	5478	4.813413501347622e-19	4	0.49881188778422164	-0.04533858693144077	-0.2	14.170710499412014	gmtcustom
GO_ORGANELLAR_RIBOSOME	1.0429583053375265e-17	6.268700894231202e-15	8250	4714.25	5083	5.2147915266876225e-19	5	0.4911633179354666	-0.036114598147271824	-0.2	14.624963732664014	gmtcustom
MODULE_54	1.1433334230145602e-17	6.544767180027633e-15	9810	3949	5221.5	5.716667115072792e-19	3	0.8885685291497403	0.23284898184678893	0.2	31.914193745945457	gmtcustom
GO_TRANSLATIONAL_ELONGATION	1.2122620189101636e-17	6.623909876963216e-15	9800	6237.15	8052.5	6.061310094550808e-19	6	0.47173926179710646	0.1425884968928913	0.2	13.420706364393718	gmtcustom
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	1.2978708509688358e-17	6.7833502171723376e-15	10	4171.55	6490	6.489354254844165e-19	6	0.8886978054684397	-0.05385297011948342	-0.2	30.229692454370504	gmtcustom
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP	1.81565093206274e-17	9.094141605969249e-15	4730	4120.9	5955.5	9.078254660313688e-19	8	0.8363430091602047	0.17807865472434348	0.2	30.581382943184835	gmtcustom
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	2.0914967096760263e-17	1.0056752778806205e-14	7890	4045.65	4884	1.0457483548380174e-18	9	0.8602545390918663	0.15214083375403628	0.2	27.80830624418332	gmtcustom
FISCHER_G2_M_CELL_CYCLE	2.5156015970447267e-17	1.1630787230028716e-14	2935	3540.75	3138	1.2578007985223643e-18	10	0.9556507741508582	0.30188531074097635	0.2	31.084420870856665	gmtcustom
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.883058076990802e-17	1.2836015238335716e-14	50	2610.2	3848.5	1.4415290384954064e-18	8	0.6404430378002314	-0.13627812849735937	-0.2	20.06196849422943	gmtcustom
GNF2_TTK	5.712074810689386e-17	2.4523161178320396e-14	6845	5016.7	7196.5	2.8560374053446935e-18	3	0.7542300971506275	-0.0018007456008754085	-0.2	29.977040545218685	gmtcustom
GO_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	7.631643805151626e-17	3.1634479373009555e-14	255	1961.65	1490	3.815821902575811e-18	9	0.8228558888897933	-0.5022154780088915	-0.6	19.83199453178653	gmtcustom
GSE14415_NATURAL_TREG_VS_TCONV_DN	8.696382567427734e-17	3.484640494768293e-14	5095	3535.7	4506	4.348191283713865e-18	5	0.8534942572763515	-0.06963457779597634	-0.2	30.95415522088382	gmtcustom
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	1.1298203824075493e-16	4.2442408802878593e-14	11510	3906.9	5596	5.649101912037759e-18	12	0.9324257854965712	0.5905147259497376	0.6	29.315229288130784	gmtcustom
GNF2_ESPL1	1.1013316014596477e-16	4.2442408802878593e-14	4125	5205.5	7763.5	5.506658007298261e-18	10	0.8968953719298323	0.2551561646525368	0.2	27.905728954324616	gmtcustom
GNF2_RRM2	2.2115267713582238e-16	8.055988884393093e-14	3345	5369.55	7774	1.1057633856791104e-17	12	0.8249660197952603	-0.045852718327967446	-0.2	25.464110056773563	gmtcustom
CHANG_CYCLING_GENES	3.0962727125980195e-16	1.0947145375923762e-13	15	4089.05	6017.5	1.548136356299012e-17	13	0.8828527551496493	-0.05695694314779713	-0.2	26.65985609911983	gmtcustom
GNF2_CENPF	4.72865769897458e-16	1.624091262839241e-13	15	4152	7261.5	2.364328849487288e-17	14	0.8900716306412523	-0.05302271905334281	-0.2	27.03396704862827	gmtcustom
GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	7.6351186375914025e-016	2.5494933650690627e-13	11795	3913.3	3195.5	3.817559318795705e-17	10	0.8013820528576137	0.2241094506656735	0.2	20.0710578260405	gmtcustom
MOOTHA_MITOCHONDRIA	8.0946190838347875e-16	2.6298761082912965e-13	1595	3763.15	3305.5	4.047309541917384e-17	8	0.633311204303053	-0.08232657303534482	-0.2	15.524270894505118	gmtcustom
BENPORATH_CYCLING_GENES	1.0310347711409826e-15	3.261597101022567e-13	9380	4053.45	4884.5	5.155173855704911e-17	14	0.7954432708237361	0.2341378819348583	0.2	22.746497914901667	gmtcustom
GNF2_SMC2L1	1.408348871823579e-15	4.340964561074678e-13	2390	5034.55	6961.5	7.041744359117914e-17	1	0.6983421556715197	0.37154794912728323	0.6	24.462609168595417	gmtcustom
FISCHER_DREAM_TARGETS	1.4785604234471607e-15	4.4434437125645793e-13	4805	4431.85	3716	7.392802117235823e-17	10	0.7425200218722265	-0.10519654241584322	-0.2	21.65862951054909	gmtcustom
ZHAN_MULTIPLE_MYELOMA_PR_UP	1.718158162573024e-15	5.032844049923098e-13	20	4505.35	4724	8.590790812865153e-17	12	1.0241207793113758	0.311996761776064	0.2	26.45280576332704	gmtcustom
GNF2_PCNA	1.7584181856482e-15	5.032844049923098e-13	5015	4393.8	5846.5	8.792090928240994e-17	13	0.7877015568629483	-0.10363709021992193	-0.2	23.456766434873845	gmtcustom
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	3.0222628627050555e-15	8.378455598319554e-13	5	3150.55	4071.5	1.5111314313525327e-16	3	0.6742970909200061	-0.3080947672972644	-0.6	23.450848236959978	gmtcustom
GO_ORGANOPHOSPHATE_METABOLIC_PROCESS	3.0757798427313225e-15	8.378455598319554e-13	7015	3156	1901	1.5378899213656674e-16	12	0.7736583556370635	-0.1646448125599012	-0.2	20.468305332624023	gmtcustom
MOOTHA_HUMAN_MITODB_6_2002	3.1364320932067207e-15	8.378455598319554e-13	920	3397.6	3232	1.568216046603367e-16	10	0.6256670597142776	-0.12770172896691032	-0.2	16.147179106797555	gmtcustom
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	4.366709443209233e-15	1.1411350916699608e-12	20	2299.6	2264	2.1833547216046208e-16	13	0.6663915136308053	-0.3317091994040243	-0.6	21.163780544624252	gmtcustom
MOOTHA_VOXPHOS	4.60731440356367e-15	1.1783941796859335e-12	20	3734.85	5728.5	2.303657201781845e-16	14	0.6923683195424969	-0.29171290713447434	-0.6	20.76023215051118	gmtcustom
GNF2_CDC2	7.06968290264856e-15	1.7705137119320486e-12	1100	3926.85	5747	3.5348414513242876e-16	15	0.9021854182214493	-0.020724954635361458	-0.2	26.95141696893812	gmtcustom
GO_OXIDATIVE_PHOSPHORYLATION	8.289407163029192e-15	2.0336115001382433e-12	5	3170.35	5265.5	4.144703581514609e-16	4	0.7110279604052084	-0.40763565688427106	-0.6	21.815873542463137	gmtcustom
GO_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	9.397362528826744e-15	2.2593138991805256e-12	175	2143.9	2090.5	4.698681264413385e-16	16	0.806909447576598	-0.5059034612835457	-0.6	17.078253544113323	gmtcustom
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	1.4183727368734175e-14	3.3431879745010494e-12	11375	5494.25	6158	7.091863684367159e-16	11	0.5637096197147226	-0.0984686113223426	-0.2	11.656318613420108	gmtcustom
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	1.6782305569723093e-14	3.879617216416179e-12	20	4439	6225	8.39115278486161e-16	17	0.808409137914804	-0.1578699538547625	-0.2	21.558242929449197	gmtcustom
MODULE_62	1.8597398205282357e-14	4.2181004495414946e-12	15	3556.95	5295	9.298699102641259e-16	15	0.6775064877395138	-0.2576035769224453	-0.6	20.68908851612093	gmtcustom
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	2.141982237892241e-14	4.768290459574561e-12	10090	4271.1	7208.5	1.0709911189461306e-15	14	0.878425206550687	-0.07980539324963953	-0.2	24.268384831101734	gmtcustom
GNF2_MKI67	3.786429362110936e-14	8.275757702170103e-12	8725	4693.85	5835.5	1.8932146810555095e-15	21	0.992883204446994	0.19234934460044137	0.2	24.00314249117956	gmtcustom
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	3.876016458465354e-14	8.320284615573575e-12	11935	4250.65	4451	1.9380082292327157e-15	13	0.9088644482292586	0.252998262107544	0.2	27.158544656181853	gmtcustom
GO_GLYCOSYL_COMPOUND_METABOLIC_PROCESS	4.128482941248283e-14	8.706753234516773e-12	3115	2373.1	2457	2.064241470624191e-15	18	0.8288253780586674	-0.1524591667087002	-0.2	18.78951045908055	gmtcustom
KEGG_OXIDATIVE_PHOSPHORYLATION	4.447786734494066e-14	9.218421437129856e-12	15	3647.35	3939.5	2.2238933672470763e-15	12	0.6545097357956335	-0.2745574481405782	-0.6	19.938161271999583	gmtcustom
GO_ELECTRON_TRANSPORT_CHAIN	5.631948188230213e-14	1.1474855791646676e-11	15	2790.45	3734.5	2.8159740941151997e-15	14	0.6200380177766903	-0.1133546402139697	-0.2	19.14117475045495	gmtcustom
CROONQUIST_IL6_DEPRIVATION_DN	1.7225904271361695e-13	3.4512099207673156e-11	25	3972.2	5571	8.612952135681592e-15	24	0.8998976243605223	-0.07618099334653254	-0.2	21.021070248445042	gmtcustom
GO_MITOCHONDRION_ORGANIZATION	2.3110412283090656e-13	4.554266656639881e-11	1285	4873.75	6410.5	1.15552061415466e-14	7	0.6025783193451436	-0.1213302329371192	-0.2	12.182589241246779	gmtcustom
GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	2.386311282281454e-13	4.6267496652105414e-11	165	1456.7	517	1.1931556411408592e-14	23	0.7503346800136603	-0.1693438115999454	-0.2	20.57425052689727	gmtcustom
WONG_MITOCHONDRIA_GENE_MODULE	2.5997635394542265e-13	4.960596429806231e-11	430	3216.25	3013.5	1.2998817697272713e-14	14	0.6607592593883669	-0.10668945713334735	-0.2	14.023261490635548	gmtcustom
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	3.6475593647985546e-13	6.851142363163035e-11	5	2846.75	4227	1.823779682399595e-14	2	0.5925706251337679	-0.11024562126259034	-0.2	20.97097013635539	gmtcustom
BURTON_ADIPOGENESIS_3	4.2303594844137677e-13	7.823561748021215e-11	25	4334.55	6947.5	2.1151797422073134e-14	22	0.8299820719872242	-0.11679682066567813	-0.2	19.69965674314453	gmtcustom
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	5.397740045410256e-13	9.831247437254042e-11	5300	3400.8	4132	2.698870022705819e-14	27	1.0321765012073487	0.12330477353097939	0.2	31.49647929952135	gmtcustom
GO_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	6.492727096697561e-13	1.1649115287970355e-10	1780	2572.05	2850.5	3.2463635483497844e-14	27	0.7984451514379914	-0.48899589622445194	-0.6	15.844019204881093	gmtcustom
MODULE_152	8.527354952232063e-13	1.5074607923644357e-10	75	2974.45	3614	4.2636774761177613e-14	19	0.6851082503214894	-0.2870715303590908	-0.6	15.839649391183592	gmtcustom
GSE14415_INDUCED_VS_NATURAL_TREG_DN	9.54825910272966e-13	1.6418750186788312e-10	70	3950.65	4531.5	4.774129551366997e-14	28	0.8820217168290985	0.1741310708941048	0.2	21.683399167851444	gmtcustom
BASAKI_YBX1_TARGETS_UP	9.56087274831696e-13	1.6418750186788312e-10	10210	4732.4	5817	4.780436374160653e-14	29	0.7724513773528072	0.4837129206745011	0.6	18.257999465048968	gmtcustom
GNF2_CENPE	1.0910241762644121e-12	1.8472114961795067e-10	2730	4523.2	6585	5.4551208813248813e-14	24	0.859189092542267	-0.08027726367343042	-0.2	20.012130452047995	gmtcustom
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP	1.1608857411640067e-12	1.9381954853517397e-10	8685	3682.2	5076.5	5.80442870582323e-14	30	0.8123690374293263	0.5153141672876089	0.6	19.711685270162395	gmtcustom
GO_MITOCHONDRIAL_MATRIX	1.2618413873767723e-12	2.0778897695419426e-10	9230	3903.3	2965	6.309206936887651e-14	17	0.5966605029094908	-0.12846861886612077	-0.2	12.732759902744903	gmtcustom
LEE_EARLY_T_LYMPHOCYTE_UP	1.865202598592618e-12	3.029946005092143e-10	7590	4352.45	6327	9.326012992971359e-14	17	0.925995243557433	-0.14665460124859023	-0.2	22.094964131434462	gmtcustom
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	1.9797292997764222e-12	3.1731101216816494e-10	5300	3944.6	5445	9.89864649889145e-14	21	0.7994805748344985	-0.1261115235558975	-0.2	19.172253921953434	gmtcustom
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP	2.2035743659361605e-12	3.485416770120867e-10	11830	4293.55	4803.5	1.1017871829692378e-13	25	0.863127088863731	-0.10594062657254252	-0.2	21.60557313626767	gmtcustom
GO_RESPIRATORY_CHAIN	2.4995174278831283e-12	3.872127535343801e-10	5	3152.2	5122.5	1.249758713943049e-13	1	0.6067214618784053	-0.23740033602362012	-0.6	22.08852571909862	gmtcustom
BLUM_RESPONSE_TO_SALIRASIB_DN	2.5124860473905373e-12	3.872127535343801e-10	2855	3652.25	3995	1.2562430236967688e-13	33	0.8439283807275099	0.19362295395920887	0.2	18.924371405538782	gmtcustom
BASSO_CD40_SIGNALING_UP	3.355157009970663e-12	5.041542802107167e-10	11510	5169.05	3242.5	1.6775785049880077e-13	1	0.9632401529306646	0.24355648549351971	0.2	26.813476075808808	gmtcustom
KANG_DOXORUBICIN_RESISTANCE_UP	3.3149411688318986e-12	5.041542802107167e-10	8900	3965.1	5944	1.657470584418559e-13	27	0.8337572844688786	-0.1164882462787586	-0.2	18.555118638128864	gmtcustom
HORIUCHI_WTAP_TARGETS_DN	3.608930426166014e-12	5.355920080610081e-10	8125	4139.75	4121.5	1.8044652130861028e-13	34	0.7951628652110797	0.1594128391929264	0.2	17.60845431192826	gmtcustom
GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP	4.2077613774479774e-12	6.168475551012455e-10	3460	4033.5	4458.5	2.103880688728197e-13	27	0.8539453064564057	0.5136045531638234	0.6	21.809800810693957	gmtcustom
MARKEY_RB1_ACUTE_LOF_UP	5.39907093942939e-12	7.819545995527795e-10	9460	3069.3	2241	2.699535469721618e-13	34	0.8351063109264719	-0.06974167439797194	-0.2	19.791693999286238	gmtcustom
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	6.6784637737557014e-012	9.557358693371105e-10	1270	3587	3384	3.3392318868884446e-13	29	1.1154668768156588	0.2273993004049164	0.2	24.549735391439494	gmtcustom
GNF2_RRM1	7.037716647522546e-12	9.952987272925708e-10	30	4764.15	5258	3.518858323773043e-13	27	0.8163840384821166	-0.09677985505231508	-0.2	17.820811835522196	gmtcustom
GNF2_BUB1	7.152749462810515e-12	9.998046661912232e-10	8520	4821.2	6895.5	3.5763747314174106e-13	14	0.8939099669558481	0.2515399450334605	0.2	19.839335879694964	gmtcustom
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP	9.326535564126964e-12	1.2886699312226465e-9	60	4627.5	3583.5	4.663267782084152e-13	33	0.8643185971095259	0.5624850900532584	0.6	18.597139075686577	gmtcustom
GNF2_RFC4	9.965780784726635e-12	1.3613483046954417e-9	3965	4543.45	5597.5	4.982890392386909e-13	23	0.7505608612550809	-0.062496874184723716	-0.2	18.65653067910589	gmtcustom
WHITEFORD_PEDIATRIC_CANCER_MARKERS	1.1256971793165281e-11	1.5204500890521332e-9	8960	2810.75	1830	5.628485896612745e-13	29	0.837966903061181	-0.1339545368694532	-0.2	21.019746897131704	gmtcustom
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_DN	1.1524971291854809e-11	1.539351998882074e-9	4885	4872.75	4212	5.762485645958949e-13	33	0.9947929346035316	1.046626726624892	1	19.209265995086465	gmtcustom
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN	1.4900742255523533e-11	1.96837167751262e-9	1950	3852.6	4916.5	7.450371127814521e-13	40	0.8522842332638203	0.1518550343821285	0.2	17.771289980387255	gmtcustom
GOLDRATH_ANTIGEN_RESPONSE	1.6658086514590433e-11	2.176596282520561e-9	3805	3396.35	2403.5	8.329043257361135e-13	41	0.8988447267083804	0.49279085175271853	0.6	27.458082991255004	gmtcustom
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP	2.0697110614529017e-11	2.6752684591102504e-9	7320	2823.8	1667	1.0348555307366241e-12	31	0.8659561082602635	-0.10250831447004347	-0.2	22.85465789055287	gmtcustom
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	2.54223337085154e-11	3.2510837607453573e-9	285	3384.9	2422.5	1.271116685441121e-12	45	0.9720585350397298	0.5515983482289222	0.6	27.12441414788105	gmtcustom
GO_ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT	2.5928515931923705e-11	3.28091252650163e-9	75	2774.4	1093	1.2964257966121497e-12	1	0.49650329604465454	-0.03060438467049854	-0.2	16.13229977120406	gmtcustom
GO_OXIDATION_REDUCTION_PROCESS	2.831328555064815e-11	3.5185475149967936e-9	4350	1346.1	697.5	1.4156642775514472e-12	2	0.7237190674552657	-0.1521863394523637	-0.2	22.192013379693844	gmtcustom
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP	2.8391906576382078e-11	3.5185475149967936e-9	9065	4760.3	7698	1.4195953288382467e-12	46	0.842901925487609	0.45840286174930056	0.6	18.738545543785957	gmtcustom
KONG_E2F3_TARGETS	2.977030200629885e-11	3.6517224532420255e-9	1370	4710.05	7610	1.4885151003359924e-12	38	0.8171185008740582	-0.010747797118558977	-0.2	19.23929219104436	gmtcustom
REACTOME_DNA_STRAND_ELONGATION	4.650411369947714e-11	5.646726775569845e-9	390	5317.05	6720	2.3252056850252274e-12	12	0.6079368143049989	0.1976768294954397	0.2	17.594744251577374	gmtcustom
GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	5.937292250156199e-11	7.137219013912767e-9	5870	3483.95	2825	2.9686461251618165e-12	12	0.7654659757600097	-0.15164867093838477	-0.2	16.280983059801375	gmtcustom
MARSON_BOUND_BY_E2F4_UNSTIMULATED	6.453159463877331e-11	7.680537615373207e-9	4090	4805.15	5266.5	3.226579732037565e-12	14	0.7727112360770474	0.23836369125473617	0.2	14.062559738420745	gmtcustom
GNF2_CKS2	6.548875309747762e-11	7.718042166517436e-9	1220	4623.95	6281	3.2744376549757396e-12	26	0.8111666549794628	-0.10540453693877987	-0.2	17.278251411690935	gmtcustom
ODONNELL_TFRC_TARGETS_DN	6.985708738591983e-11	8.152932499671285e-9	5340	5149.3	6960	3.4928543694118995e-12	37	0.9611869440607816	0.25578445064853905	0.2	17.36675017225618	gmtcustom
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	7.875546964401223e-11	9.103072121064145e-9	8760	4573.95	5850.5	3.937773482347929e-12	50	0.7818563205592514	-0.0311196402272484	-0.2	15.95978351972094	gmtcustom
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN	8.473467568429613e-11	9.700909870484988e-9	830	3576.55	2908.5	4.23673378438533e-12	51	1.0162587273986197	-0.6891614478273563	-0.6	29.436737088284126	gmtcustom
GO_ENDOPLASMIC_RETICULUM_PART	1.335893416042425e-10	1.514978750400565e-8	55	2841.2	731.5	6.679467080635966e-12	8	0.6835302845479964	-0.11287878200873183	-0.2	16.856595446578417	gmtcustom
HALLMARK_G2M_CHECKPOINT	1.603537857267119e-10	1.801507344131592e-8	2990	4893.65	7377	8.017689286946296e-12	53	0.8227143581228324	0.24797664294657934	0.2	14.294491007282682	gmtcustom
GO_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORT	2.4037748883073475e-10	2.6755349937354283e-8	750	5743.55	5502	1.2018874442909087e-11	35	0.7023068674448012	-0.2820934277835259	-0.6	10.83027076174809	gmtcustom
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	3.1414554065691467e-10	3.464535361685111e-8	630	4141.5	6170	1.570727703518958e-11	8	0.5516878945735139	0.2761234709203269	0.6	14.619985270321797	gmtcustom
CROONQUIST_NRAS_SIGNALING_DN	3.3320264011498045e-10	3.641299033474709e-8	55	4616.15	6814.5	1.6660132008385824e-11	54	0.8186518746629736	-0.14220262684605042	-0.2	15.992625345534016	gmtcustom
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	3.424258640282096e-10	3.708379559894692e-8	2635	6183.35	7146	1.7121293204195303e-11	27	0.5224345718572019	0.15585342025838508	0.2	7.67513126203008	gmtcustom
MOOTHA_PGC	4.953848781503235e-10	5.316983589504498e-8	5365	3945.8	4249.5	2.4769243913344632e-11	33	0.6785950777358892	-0.11104921896442968	-0.2	9.199653794617372	gmtcustom
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN	5.30856318340381e-10	5.647277701566124e-8	9480	3503.35	4263.5	2.6542815923712005e-11	48	0.9651269681261405	0.36511108513820745	0.2	18.05148477743162	gmtcustom
GO_DNA_REPLICATION_INITIATION	5.867694170604593e-10	6.187329089898053e-8	3265	5008.1	6973.5	2.93384708612001e-11	29	0.6057883588845583	0.3106667661172144	0.6	14.090402933351177	gmtcustom
KEGG_ALZHEIMERS_DISEASE	6.446445537900818e-10	6.680407052681529e-8	25	3441.6	5371.5	3.223222769937387e-11	21	0.5877428639600957	-0.21608797899118942	-0.6	12.782813088764241	gmtcustom
GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	6.440406946396111e-10	6.680407052681529e-8	75	2858.45	2090	3.220203474183183e-11	18	0.6733817709058434	-0.09943461075295094	-0.2	15.906012167420705	gmtcustom
GAVIN_FOXP3_TARGETS_CLUSTER_P6	6.97161829124591e-10	7.162890895646759e-8	9060	4722.05	6133	3.485809146777299e-11	42	0.9698860379091494	0.16848104611205716	0.2	16.15261099040703	gmtcustom
MODULE_202	8.131433369363098e-10	8.214114330513765e-8	50	4343.5	4322	4.065716686251908e-11	1	0.7392776730866578	-0.26390835930241785	-0.2	14.74833998322056	gmtcustom
GO_ENVELOPE	8.105129757851751e-10	8.214114330513765e-8	145	5611.6	5288.5	5.4034198406116206e-11	32	0.6437379060461355	-0.10085493160383807	-0.2	10.583011412765503	gmtcustom
GO_CELLULAR_RESPIRATION	8.934706805014783e-10	8.950342541923558e-8	45	2849.75	3160	4.4673534044033354e-11	34	0.6162238788644068	-0.30702493126536146	-0.6	14.101589730202255	gmtcustom
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP	1.06412255200225e-9	1.0571749750098385e-7	6325	3595.25	3241.5	5.320612762700592e-11	60	0.8578884608559818	0.5073619693289858	0.6	17.269860342502966	gmtcustom
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS	1.0790805911414775e-9	1.0632481791894837e-7	25	3448.4	4889.5	5.395402958472883e-11	22	0.5899628611964931	-0.1285589513658207	-0.2	13.891940809377756	gmtcustom
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	1.1052634639267511e-9	1.080192853647437e-7	20	3658	5358	5.526317322535072e-11	18	0.5982469614352685	-0.12762908555784766	-0.2	14.626009277639298	gmtcustom
